Group,NAIROBI,NAIROBI,NAIROBI,NAIROBI,PROVINCES,KENYA
,LOWER,MIDDLE,UPPER,COMBINED,EXCEPT,CPI
,INCOME,INCOME,INCOME,,NAIROBI,
Jan-12,134.21,121.65,123.72,130.78,130.84,130.82
Feb-12,134.38,121.37,123.63,130.84,130.71,130.76
Mar-12,136.85,122.53,124.12,132.91,132.23,132.51
Apr-12,137.61,123.49,124.90,133.73,133.74,133.74
May-12,138.00,123.66,124.98,134.05,134.12,134.09
Jun-12,136.21,123.31,124.83,132.67,133.33,133.06
July-12,134.44,121.96,124.26,131.04,132.54,131.92
Aug-12,133.18,122.03,124.74,130.17,132.45,131.51
Sep-12,133.61,122.40,124.87,130.58,132.81,131.89
Oct-12,134.13,123.12,125.72,131.16,133.38,132.46
Nov-12,135.14,123.36,125.51,131.94,134.31,133.33
Dec-12,136.49,123.51,125.46,132.94,135.17,134.25
Jan-13,138.55,125.13,126.64,134.86,136.15,135.62
