Group,NAIROBI LOWER INCOME,NAIROBI MIDDLE INCOME,NAIROBI UPPER INCOME,NAIROBI COMBINED,PROVINCES EXCEPT NAIROBI,KENYA CPI
Weight Month,0.297,0.099,0.016,0.412,0.588,1.000
2009 Jan,,,,,,
Feb,100.00,100.00,100.00,100.00,100.00,100.00
Mar,100.00,100.46,99.92,101.25,100.76,100.96
Apr,101.59,100.95,100.04,101.85,101.83,101.84
May,102.24,100.91,100.08,102.07,101.68,101.84
Jun,102.56,101.15,100.78,102.22,101.93,102.05
Jul,102.65,101.44,101.60,102.46,102.24,102.33
Aug,102.84,102.06,102.25,103.15,102.79,102.94
Sept,103.56,102.01,103.33,103.66,103.26,103.42
Oct,104.23,102.30,103.03,103.97,103.47,103.68
Nov,104.58,102.49,103.85,104.06,103.75,103.87
Dec,104.59,102.71,104.26,104.69,104.64,104.66
2010 Jan,105.60,102.93,105.51,104.95,104.84,104.89
Feb,106.16,102.95,105.56,105.36,105.05,105.18
Mar,105.78,103.34,106.23,105.21,104.80,104.97
Apr,106.38,103.52,106.32,105.69,105.48,105.56
