PERIOD,NAIROBI INDEX,REST* OF URBAN TOWNS INDEX,OVERALL KENYA INDEX,OVERALL MONTH ON MONTH INFLATION RATE***,UNDERLYING INFLATION RATE****
June 2007,126.66,134.86,131.58,OVERALL MONTH ON,6.7
January,225.05,217.85,220.72,9.7,6.4
February,228.18,220.53,223.59,6.8,6.1
March,228.38,223.26,225.30,5.9,6.1
April,222.93,222.39,222.61,5.7,5.9
May,231.39,222.13,221.83,6.3,5.7
June,224.91,224.95,224.93,11.1,5.2
July,226.53,226.60,226.57,13.6,5.6
August,227.64,224.56,225.79,12.4,5.2
September,230.29,226.74,228.16,11.7,5.1
October,230.93,229.37,229.99,10.6,5.2
November,233.73,232.99,233.28,11.8,5.8
December,242.14,238.26,239.81,12.0,5.9
2008 January,266.28,257.39,260.94,18.2,7.6
February,267.04,265.92,266.37,19.1,9.3
March,277.61,274.40,274.55,21.8,9.8
